Time,v1,v2,vRL
0,0.001,0,0
1e-06,0.001023481,5.310197e-06,2.0608457e-09
2e-06,0.0010478003,1.0715209e-05,8.299759e-09
3e-06,0.0010729973,1.6216654e-05,1.882882e-08
4e-06,0.0010990751,2.1814649e-05,3.3656008e-08
5e-06,0.0011260816,2.7511325e-05,5.2914793e-08
6e-06,0.0011540079,3.330629e-05,7.6580434e-08
7e-06,0.0011829166,3.920247e-05,1.0482326e-07
8e-06,0.0012128019,4.5199606e-05,1.376276e-07
9e-06,0.0012437231,5.1300685e-05,1.7515063e-07
1e-05,0.0012756814,5.750578e-05,2.1739572e-07
1.1e-05,0.001308715,6.381704e-05,2.644609e-07
1.2e-05,0.001342862,7.023658e-05,3.1644433e-07
1.3e-05,0.0013781426,7.676551e-05,3.7339825e-07
1.4e-05,0.0014145848,8.340538e-05,4.35395e-07
1.5e-05,0.0014522336,9.0158996e-05,5.025464e-07
1.6e-05,0.0014911252,9.702851e-05,5.749434e-07
1.7e-05,0.0015312864,0.00010401539,6.52656e-07
1.8e-05,0.0015727573,0.000111122354,7.3578065e-07
1.9e-05,0.0016155825,0.000118352655,8.244219e-07
2e-05,0.0016597925,0.00012570794,9.1865905e-07
2.1e-05,0.0017054263,0.00013319084,1.0185863e-06
2.2e-05,0.001752533,0.00014080541,1.1243154e-06
2.3e-05,0.0018011468,0.00014855358,1.2359319e-06
2.4e-05,0.0018513068,0.0001564381,1.3535308e-06
2.5e-05,0.0019030687,0.0001644637,1.4772384e-06
2.6e-05,0.001956469,0.00017263269,1.607143e-06
2.7e-05,0.0020115494,0.00018094815,1.7433457e-06
2.8e-05,0.0020683676,0.0001894149,1.8859773e-06
2.9e-05,0.0021269682,0.0001980364,2.0351442e-06
3e-05,0.0021873955,0.00020681586,2.1909502e-06
3.1e-05,0.002249703,0.00021575775,2.3535206e-06
3.2e-05,0.0023139468,0.00022486674,2.5229847e-06
3.3e-05,0.002380177,0.00023414679,2.6994592e-06
3.4e-05,0.0024484487,0.00024360258,2.8830743e-06
3.5e-05,0.0025188231,0.0002532393,3.0739711e-06
3.6e-05,0.0025913578,0.0002630618,3.272283e-06
3.7e-05,0.002666113,0.00027307533,3.4781508e-06
3.8e-05,0.0027431513,0.0002832853,3.6917193e-06
3.9e-05,0.0028225367,0.00029369723,3.9131396e-06
4e-05,0.0029043348,0.00030431699,4.1425633e-06
4.1e-05,0.002988613,0.00031515045,4.380147e-06
4.2e-05,0.0030754397,0.00032620382,4.626051e-06
4.3e-05,0.0031648886,0.0003374837,4.8804486e-06
4.4e-05,0.003257034,0.00034899692,5.1435154e-06
4.5e-05,0.0033519506,0.00036075016,5.415424e-06
4.6e-05,0.0034497145,0.00037275048,5.696354e-06
4.7e-05,0.0035504051,0.00038500514,5.986492e-06
4.8e-05,0.0036541054,0.0003975219,6.2860336e-06
4.9e-05,0.003760904,0.00041030906,6.5951913e-06
5e-05,0.003870884,0.00042337432,6.9141593e-06
5.1e-05,0.0039841332,0.00043672603,7.2431462e-06
5.2e-05,0.0041007423,0.0004503727,7.582365e-06
5.3e-05,0.004220804,0.00046432315,7.932038e-06
5.4e-05,0.0043444284,0.00047858787,8.292432e-06
5.5e-05,0.0044717058,0.0004931756,8.663761e-06
5.6e-05,0.004602738,0.00050809607,9.046269e-06
5.7e-05,0.0047376296,0.0005233593,9.440205e-06
5.8e-05,0.0048764865,0.0005389756,9.845823e-06
5.9e-05,0.0050194333,0.0005549571,1.0263432e-05
6e-05,0.0051665795,0.00057131436,1.0693292e-05
6.1e-05,0.0053180405,0.0005880587,1.1135683e-05
6.2e-05,0.0054739355,0.0006052019,1.1590895e-05
6.3e-05,0.005634388,0.00062275585,1.2059227e-05
6.4e-05,0.0057995347,0.00064073416,1.2541016e-05
6.5e-05,0.0059695113,0.00065915013,1.3036596e-05
6.6e-05,0.0061444473,0.0006780166,1.35462815e-05
6.7e-05,0.00632448,0.0006973471,1.4070411e-05
6.8e-05,0.0065097515,0.00071715575,1.4609333e-05
6.9e-05,0.006700415,0.00073745777,1.5163428e-05
7e-05,0.006896633,0.0007582693,1.5733101e-05
7.1e-05,0.007098553,0.000779605,1.6318714e-05
7.2e-05,0.007306333,0.0008014808,1.6920663e-05
7.3e-05,0.007520138,0.0008239129,1.7539354e-05
